Genotype	Tetrad	Tetrad.CO.Event	Chr	Chromatid1	Chromatid2	GC_tracLength	GC.nbSNP	flankingSNP.F1	flankingSNP.F2	SNP.MAP.F1	SNP.MAP.F2	SNP.MAP.GC	FlankingSNP1.Ler	FlankingSNP2.Ler	taille_Col	Taille_Ler	difference_Col_Ler	SNP_density	is.complexGCCO
wt	wt_Tet4	wt_Tet4_CO_11	Chr5	1	2	0	0	13666039	13678651	10	11	10_11	13119577	13129829	12612	10252	2360	0	FALSE
wt	wt_Tet4	wt_Tet4_CO_12	Chr5	1	4	735	3	25700522	25701960	11	4	11_12_12_12_4	25094758	25096196	1438	1438	0	0.208623087621697	FALSE
wt	wt_Tet5	wt_Tet5_CO_2	Chr1	1	2	0	0	1144061	1144320	10	11	10_11	1146437	1146696	259	259	0	0	FALSE
wt	wt_Tet5	wt_Tet5_CO_1	Chr1	3	4	0	0	21442804	21443701	11	7	11_7	20446061	20446958	897	897	0	0	FALSE
wt	wt_Tet5	wt_Tet5_CO_7	Chr2	2	3	2088.5	3	6301229	6304618	6	4	6_2_2_2_4	5693964	5697352	3389	3388	1	0.0885216878135143	FALSE
wt	wt_Tet5	wt_Tet5_CO_8	Chr3	1	4	191	2	4732710	4733001	13	6	13_5_5_6	4766038	4766330	291	292	-1	0.687285223367698	FALSE
wt	wt_Tet5	wt_Tet5_CO_9	Chr3	1	4	560	1	19181118	19182238	6	13	6_14_13	18367953	18369075	1120	1122	-2	0.0892857142857143	FALSE
wt	wt_Tet5	wt_Tet5_CO_10	Chr4	2	3	461.5	2	6256117	6256792	6	4	6_2_2_4	5510041	5510704	675	663	12	0.296296296296296	FALSE
wt	wt_Tet5	wt_Tet5_CO_11	Chr5	2	3	1009.5	3	14852978	14854335	6	4	6_8_8_8_4	14168145	14169504	1357	1359	-2	0.221075902726603	FALSE
Fa	Fa_Tet6	Fa_Tet6_CO_2	Chr1	2	4	314.5	4	4273106	4273662	13	7	13_5_5_5_5_7	4308412	4308968	556	556	0	0.719424460431655	FALSE
Fa	Fa_Tet6	Fa_Tet6_CO_1	Chr1	2	4	742	4	26471326	26472579	7	13	7_15_15_15_15_13	25403321	25404574	1253	1253	0	0.319233838786911	FALSE
Fa	Fa_Tet6	Fa_Tet6_CO_4	Chr2	1	3	0	0	493083	493516	13	10	13_10	438805	439238	433	433	0	0	FALSE
Fa	Fa_Tet6	Fa_Tet6_CO_3	Chr2	2	4	0	0	10655803	10660920	10	4	10_4	9974835	9979958	5117	5123	-6	0	FALSE
Fa	Fa_Tet6	Fa_Tet6_CO_5	Chr3	3	4	406	1	4789938	4790750	6	10	6_2_10	4825703	4826515	812	812	0	0.123152709359606	FALSE
Fa	Fa_Tet6	Fa_Tet6_CO_6	Chr3	1	3	1288.5	1	22425734	22428311	10	13	10_9_13	21615209	21617790	2577	2581	-4	0.0388048117966628	FALSE
Fa	Fa_Tet6	Fa_Tet6_CO_7	Chr4	1	3	733.5	2	179114	180425	4	7	4_8_8_7	196257	197558	1311	1301	10	0.15255530129672	FALSE
Fa	Fa_Tet6	Fa_Tet6_CO_8	Chr4	1	2	602.5	2	14699780	14700823	7	6	7_5_5_6	14042568	14043613	1043	1045	-2	0.191754554170662	FALSE
Fa	Fa_Tet6	Fa_Tet6_CO_9	Chr5	1	3	0	0	3229661	3230451	13	10	13_10	3252029	3252819	790	790	0	0	FALSE
Fa	Fa_Tet6	Fa_Tet6_CO_10	Chr5	2	4	0	0	16878178	16879184	10	4	10_4	16325112	16326120	1006	1008	-2	0	FALSE
Fa	Fa_Tet6	Fa_Tet6_CO_11	Chr5	2	4	910.5	9	25091896	25093124	4	10	4_12_12_12_12_12_12_12_12_12_10	24479495	24480720	1228	1225	3	0.732899022801303	FALSE
Fa	Fa_Tet7	Fa_Tet7_CO_6	Chr1	2	4	751	6	7439508	7440665	7	13	7_15_15_15_15_15_15_13	7416870	7418030	1157	1160	-3	0.518582541054451	FALSE
Fa	Fa_Tet7	Fa_Tet7_CO_5	Chr1	2	3	0	0	19833317	19833727	13	11	13_11	18816160	18816570	410	410	0	0	FALSE
Fa	Fa_Tet7	Fa_Tet7_CO_7	Chr2	1	3	0	0	11362015	11362597	13	10	13_10	10672707	10673288	582	581	1	0	FALSE
Fa	Fa_Tet7	Fa_Tet7_CO_8	Chr3	2	3	788.5	2	11463658	11465217	11	13	11_15_15_13	11632831	11634393	1559	1562	-3	0.128287363694676	FALSE
Fa	Fa_Tet7	Fa_Tet7_CO_11	Chr4	1	3	822.5	5	11239491	11240712	4	7	4_3_3_3_3_3_7	10584740	10585961	1221	1221	0	0.40950040950041	FALSE
Fa	Fa_Tet7	Fa_Tet7_CO_14	Chr5	1	4	1148.5	4	7979855	7981997	11	4	11_12_12_12_12_4	7979795	7981924	2142	2129	13	0.186741363211951	FALSE
Fa	Fa_Tet7	Fa_Tet7_CO_15	Chr5	2	4	784	4	16206585	16207544	4	10	4_12_12_12_12_10	15649067	15650025	959	958	1	0.417101147028154	FALSE
Fa	Fa_Tet7	Fa_Tet7_CO_16	Chr5	3	4	1803.5	16	25456763	25459627	10	6	10_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_6	24844427	24847294	2864	2867	-3	0.558659217877095	FALSE
Fi	Fi_Tet8	Fi_Tet8_CO_3	Chr1	3	4	0	0	2406953	2408194	7	11	7_11	2411282	2412523	1241	1241	0	0	FALSE
Fi	Fi_Tet8	Fi_Tet8_CO_2	Chr1	2	3	0	0	4431865	4432380	11	13	11_13	4461778	4462293	515	515	0	0	FALSE
Fi	Fi_Tet8	Fi_Tet8_CO_1	Chr1	2	4	0	0	24571555	24574493	13	7	13_7	23506506	23509458	2938	2952	-14	0	FALSE
Fi	Fi_Tet8	Fi_Tet8_CO_4	Chr2	1	3	858	3	7392141	7393440	13	10	13_9_9_9_10	6732200	6733499	1299	1299	0	0.23094688221709	FALSE
Fi	Fi_Tet8	Fi_Tet8_CO_5	Chr2	1	3	0	0	15011849	15014112	10	13	10_13	14341897	14344161	2263	2264	-1	0	FALSE
Fi	Fi_Tet8	Fi_Tet8_CO_6	Chr3	2	3	0	0	957309	959345	6	4	6_4	959548	961583	2036	2035	1	0	FALSE
Fi	Fi_Tet8	Fi_Tet8_CO_7	Chr3	1	4	827.5	2	19729442	19730815	4	11	4_3_3_11	18916871	18918246	1373	1375	-2	0.145666423889294	FALSE
Fi	Fi_Tet8	Fi_Tet8_CO_9	Chr4	2	3	0	0	390891	392170	11	13	11_13	407757	409054	1279	1297	-18	0	FALSE
Fi	Fi_Tet8	Fi_Tet8_CO_8	Chr4	2	4	953	2	10102889	10104733	13	7	13_15_15_7	9535850	9537694	1844	1844	0	0.108459869848156	FALSE
Fi	Fi_Tet8	Fi_Tet8_CO_12	Chr5	2	3	0	0	3240922	3243073	4	6	4_6	3265841	3267991	2151	2150	1	0	FALSE
Fi	Fi_Tet8	Fi_Tet8_CO_10	Chr5	1	4	965	7	8511625	8512807	6	13	6_5_5_5_5_5_5_5_13	8544972	8546152	1182	1180	2	0.592216582064298	FALSE
Fi	Fi_Tet8	Fi_Tet8_CO_11	Chr5	1	4	384	1	22972345	22973113	13	6	13_14_6	22354566	22355339	768	773	-5	0.130208333333333	FALSE
Fi	Fi_Tet9	Fi_Tet9_CO_7	Chr1	2	3	0	0	4557169	4559612	13	11	13_11	4590919	4593362	2443	2443	0	0	FALSE
Fi	Fi_Tet9	Fi_Tet9_CO_1	Chr1	3	4	0	0	4690603	4694570	11	7	11_7	4724755	4728723	3967	3968	-1	0	FALSE
Fi	Fi_Tet9	Fi_Tet9_CO_6	Chr1	1	2	0	0	26306025	26307669	7	6	7_6	25244673	25245755	1644	1082	562	0	FALSE
Fi	Fi_Tet9	Fi_Tet9_CO_8	Chr2	3	4	584	3	8304840	8305895	10	6	10_14_14_14_6	7647703	7648758	1055	1055	0	0.28436018957346	FALSE
Fi	Fi_Tet9	Fi_Tet9_CO_9	Chr3	1	3	0	0	4982230	4983353	13	10	13_10	5030502	5031630	1123	1128	-5	0	FALSE
Fi	Fi_Tet9	Fi_Tet9_CO_10	Chr3	1	2	2220	6	17588292	17590969	10	11	10_12_12_12_11_12_12_12_11	16756935	16759614	2677	2679	-2	0.224131490474412	TRUE
Fi	Fi_Tet9	Fi_Tet9_CO_11	Chr3	2	3	0	0	22126906	22128563	11	13	11_13	21327651	21329340	1657	1689	-32	0	FALSE
Fi	Fi_Tet9	Fi_Tet9_CO_12	Chr4	1	3	0	0	190004	190806	13	10	13_10	207171	207972	802	801	1	0	FALSE
Fi	Fi_Tet9	Fi_Tet9_CO_14	Chr5	3	4	1272	4	1593708	1596086	11	7	11_3_3_3_3_7	1603390	1605775	2378	2385	-7	0.16820857863751	FALSE
Fi	Fi_Tet9	Fi_Tet9_CO_13	Chr5	2	4	1239	3	17433241	17435581	7	13	7_5_5_5_13	16852007	16854349	2340	2342	-2	0.128205128205128	FALSE
Fi	Fi_Tet10	Fi_Tet10_CO_1	Chr1	2	3	0	0	2335581	2336149	6	4	6_4	2339913	2340481	568	568	0	0	FALSE
Fi	Fi_Tet10	Fi_Tet10_CO_2	Chr1	1	3	863	4	30352378	30353466	4	7	4_3_3_3_3_7	29319022	29320078	1088	1056	32	0.367647058823529	FALSE
Fi	Fi_Tet10	Fi_Tet10_CO_3	Chr2	1	4	729.5	2	11748160	11749617	4	11	4_12_12_11	11058495	11059953	1457	1458	-1	0.137268359643102	FALSE
Fi	Fi_Tet10	Fi_Tet10_CO_5	Chr3	2	3	466	7	195387	196147	13	11	13_9_9_9_9_9_9_9_11	193865	194622	760	757	3	0.921052631578947	FALSE
Fi	Fi_Tet10	Fi_Tet10_CO_4	Chr3	1	4	0	0	9275796	9276835	11	4	11_4	9332178	9333243	1039	1065	-26	0	FALSE
Fi	Fi_Tet10	Fi_Tet10_CO_7	Chr4	1	3	0	0	8966430	8966984	4	7	4_7	8391722	8392276	554	554	0	0	FALSE
Fi	Fi_Tet10	Fi_Tet10_CO_6	Chr4	3	4	1205	3	17334839	17336929	7	11	7_3_3_3_11	16713753	16715843	2090	2090	0	0.143540669856459	FALSE
Fi	Fi_Tet10	Fi_Tet10_CO_9	Chr5	3	4	744	5	1667417	1669685	11	7	11_15_15_15_15_15_7_7	1677163	1679415	2268	2252	16	0.220458553791887	FALSE
Fi	Fi_Tet10	Fi_Tet10_CO_11	Chr5	1	3	0	0	4755467	4756034	7	4	7_4	4789605	4790170	567	565	2	0	FALSE
Fi	Fi_Tet10	Fi_Tet10_CO_8	Chr5	1	4	0	0	15903095	15903902	4	11	4_11	15249889	15250696	807	807	0	0	FALSE
Fi	Fi_Tet10	Fi_Tet10_CO_10	Chr5	1	2	1178.5	6	25193866	25195423	11	10	11_12_12_12_12_12_12_10	24581360	24582905	1557	1545	12	0.385356454720617	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_9	Chr1	2	3	0	0	528348	560551	4	6	4_6	528713	560734	32203	32021	182	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_2	Chr1	1	4	557.5	1	17423502	17424617	6	13	6_5_13	16478571	16480949	1115	2378	-1263	0.0896860986547085	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_1	Chr1	1	4	982	1	28179141	28181105	13	6	13_14_6	27132511	27134469	1964	1958	6	0.0509164969450102	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_8	Chr1	1	2	0	0	28651893	28707111	6	7	6_7	27611088	27666301	55218	55213	5	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_7	Chr1	1	2	790.5	1	30266692	30269146	7	6	7_5_6_5_6	29228130	29230579	2454	2449	5	0.0407497962510187	TRUE
QAB	QAB_Tet11	QAB_Tet11_CO_12	Chr2	1	2	1381.5	4	14199880	14202112	11	10	11_4_12_12_12_10	13533608	13535841	2232	2233	-1	0.17921146953405	TRUE
QAB	QAB_Tet11	QAB_Tet11_CO_10	Chr2	2	4	0	0	15075195	15077841	10	4	10_4	14406863	14409509	2646	2646	0	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_11	Chr2	1	3	1168	2	17355101	17357427	4	7	4_3_3_7	16684867	16687196	2326	2329	-3	0.0859845227858985	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_13	Chr2	1	2	0	0	18782574	18783469	7	6	7-8-7-7-7-7-7-7-7-7-7-7-7-7-7-6	18120612	18121508	895	896	-1	0	TRUE
QAB	QAB_Tet11	QAB_Tet11_CO_20	Chr3	3	4	0	0	219687	219941	11	7	11_7	218201	218455	254	254	0	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_14	Chr3	2	4	0	0	1634838	1636907	7	13	7_13	1644316	1646385	2069	2069	0	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_16	Chr3	2	3	633	1	2641229	2642495	13	11	13_15_11	2659434	2660700	1266	1266	0	0.0789889415481833	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_21	Chr3	1	2	0	0	4623135	4623449	11	10	11_10	4659974	4660289	314	315	-1	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_19	Chr3	2	4	0	0	7177467	7178092	10	4	10_4	7242724	7243349	625	625	0	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_17	Chr3	2	3	0	0	7418662	7419489	4	6	4_6	7488446	7489273	827	827	0	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_22	Chr3	2	3	0	0	18011203	18012178	6	4	6_4	17185205	17186180	975	975	0	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_15	Chr3	2	3	0	0	22108440	22109255	4	6	4_6	21313939	21314754	815	815	0	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_18	Chr3	1	2	0	0	22991606	22992146	6	7	6_7	22103524	22104064	540	540	0	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_23	Chr4	3	4	696	11	8753609	8755663	11	7	11_12_11_11_11_11_11_11_11_11_11_11_11_11_11_11_11_3_3_3_3_3_3_3_3_3_3_3_7	8139872	8142006	2054	2134	-80	0.53554040895813	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_27	Chr5	1	2	0	0	1143561	1144451	7	6	7_6	1146627	1147517	890	890	0	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_28	Chr5	1	4	0	0	7378125	7382774	6	13	6_13	7348325	7352947	4649	4622	27	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_25	Chr5	2	3	0	0	8733909	8735564	13	11	13_11	8744605	8746260	1655	1655	0	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_26	Chr5	1	2	0	0	21255341	21257922	11	10	11_10	20618316	20620897	2581	2581	0	0	FALSE
QAB	QAB_Tet11	QAB_Tet11_CO_24	Chr5	2	4	969.5	3	24667266	24668584	10	4	10_12_12_12_4	24057439	24058756	1318	1317	1	0.227617602427921	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_11	Chr1	1	3	0	0	210319	266254	4	7	4_7	210893	266829	55935	55936	-1	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_5	Chr1	1	2	0	0	1570514	1571671	7	6	7_6	1568609	1569765	1157	1156	1	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_8	Chr1	1	4	0	0	8046881	8050375	6	13	6_13	8041014	8044507	3494	3493	1	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_12	Chr1	2	3	0	0	10957985	10962291	13	11	13_11	10901178	10905486	4306	4308	-2	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_3	Chr1	3	4	614	4	17298520	17299572	11	7	11_3_3_3_3_7	16364367	16365419	1052	1052	0	0.380228136882129	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_6	Chr1	1	2	0	0	17916654	17919363	7	6	7_6	16945088	16947798	2709	2710	-1	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_7	Chr1	3	4	0	0	25317956	25318499	6	10	6_10	24243586	24244129	543	543	0	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_4	Chr1	2	4	0	0	26531838	26535133	10	4	10_4	25464067	25467362	3295	3295	0	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_15	Chr2	2	3	470	1	608355	609295	13	11	13_9_11	530501	531441	940	940	0	0.106382978723404	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_14	Chr2	2	3	0	0	13936210	13938620	11	13	11_13	13266916	13269326	2410	2410	0	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_13	Chr2	2	3	273	1	17072797	17073343	13	11	13_15_11	16403589	16404135	546	546	0	0.183150183150183	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_20	Chr3	3	4	0	0	1706227	1707562	7	11	7_11	1715120	1716455	1335	1335	0	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_17	Chr3	1	4	0	0	3254469	3279079	11	4	11_4	3302361	3326971	24610	24610	0	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_19	Chr3	2	3	0	0	5771877	5776019	4	6	4_6	5820818	5824960	4142	4142	0	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_18	Chr3	1	2	717	4	6267014	6268353	6	7	6_5_5_5_5_7	6332845	6334186	1339	1341	-2	0.298730395817774	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_16	Chr3	3	4	0	0	10756262	10757597	7	11	7_11	10864070	10865405	1335	1335	0	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_23	Chr4	1	2	0	0	14014186	14015845	6	7	6_7	13354268	13355921	1659	1653	6	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_26	Chr4	1	3	0	0	14975325	14976350	7	4	7_4	14328019	14329046	1025	1027	-2	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_28	Chr5	1	4	0	0	1948070	1948574	4	11	4_11	1962836	1963341	504	505	-1	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_27	Chr5	1	2	0	0	7413709	7420714	11	10	11_10	7383884	7390882	7005	6998	7	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_33	Chr5	1	2	0	0	8134783	8141208	10	11	10_11	8142664	8149089	6425	6425	0	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_31	Chr5	3	4	1322	1	16865895	16868539	11	7	11_3_7	16312734	16315471	2644	2737	-93	0.037821482602118	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_30	Chr5	1	3	0	0	21788524	21796194	7	4	7_4	21149640	21157316	7670	7676	-6	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_29	Chr5	1	4	0	0	26054418	26054827	4	11	4_11	25446429	25446838	409	409	0	0	FALSE
QAB	QAB_Tet12	QAB_Tet12_CO_32	Chr5	2	3	0	0	26216717	26218455	11	13	11_13	25608621	25610359	1738	1738	0	0	FALSE
QAB	QAB_Tet13	QAB_Tet13_CO_1	Chr1	2	3	1153.5	2	2909236	2911491	6	4	6-2-2-4-4-12-4	2908687	2910939	2255	2252	3	0.0886917960088692	TRUE
QAB	QAB_Tet13	QAB_Tet13_CO_4	Chr1	1	3	0	0	6973091	6974987	4	7	4_7	6981129	6983024	1896	1895	1	0	FALSE
QAB	QAB_Tet13	QAB_Tet13_CO_2	Chr1	1	3	0	0	8609840	8610666	7	4	7_4	8590899	8591725	826	826	0	0	FALSE
QAB	QAB_Tet13	QAB_Tet13_CO_3	Chr1	1	3	0	0	20145109	20154319	4	7	4_7	19116918	19123161	9210	6243	2967	0	FALSE
QAB	QAB_Tet13	QAB_Tet13_CO_5	Chr2	2	3	0	0	13360374	13361973	4	6	4_6	12688247	12689846	1599	1599	0	0	FALSE
QAB	QAB_Tet13	QAB_Tet13_CO_8	Chr2	1	4	0	0	15706732	15717866	6	13	6_13	15037650	15048780	11134	11130	4	0	FALSE
QAB	QAB_Tet13	QAB_Tet13_CO_6	Chr2	1	4	0	0	15872449	15874847	13	6	13_6	15209655	15212054	2398	2399	-1	0	FALSE
QAB	QAB_Tet13	QAB_Tet13_CO_7	Chr2	1	2	0	0	19627421	19628184	6	7	6_7	18967266	18968030	763	764	-1	0	FALSE
QAB	QAB_Tet13	QAB_Tet13_CO_10	Chr3	1	3	769.5	10	15666200	15667078	4	7	4_8_8_8_8_8_8_8_8_8_8_7	14737805	14738677	878	872	6	1.13895216400911	FALSE
QAB	QAB_Tet13	QAB_Tet13_CO_9	Chr3	1	2	0	0	15877976	15879743	7	6	7_6	14965741	14967508	1767	1767	0	0	FALSE
QAB	QAB_Tet13	QAB_Tet13_CO_12	Chr4	2	4	836	1	8750707	8752379	4	10	4-12-10-10-10-10-10-10-14-10	8136969	8138641	1672	1672	0	0.0598086124401914	TRUE
QAB	QAB_Tet13	QAB_Tet13_CO_11	Chr4	1	3	0	0	10031378	10032506	10	13	10_13	9461983	9463111	1128	1128	0	0	FALSE
