Chr	FungPos	CO.Type	Chromatid1	Chromatid2	GC.tracLength	GC.nbSNP	is.gc	Tetrad	CO.Event	Tetrad.CO.Event	SNP.F1	SNP.F2	SNP.MAP.F1	SNP.MAP.F2	SNP.MAP.GC	SNP.1	SNP.2	D1	D2	medianD	minTL	maxTL	Conv.ColLer	Conv.LerCol	Genotype
Chr1	27973978.25	1	1	3	1086.5	5	TRUE	FiFa_Tet14	1	FiFa_Tet14_CO_1	27973334	27974913	10	13	10_9_9_9_9_9_13	27973536	27974130	202	783	1086.5	595	1579	5	0	Fa
Chr1	4973517.5	0	2	4	0	0	FALSE	FiFa_Tet14	6	FiFa_Tet14_CO_6	4969845	4977190	7	13	7_13	4969845	4977190	0	0	0	0	0	0	0	FiFa
Chr1	7427375.25	1	1	3	1765.5	1	TRUE	FiFa_Tet14	7	FiFa_Tet14_CO_7	7425374	7428905	13	10	13_9_10	7427611	7427611	2237	1294	1765.5	1	3531	1	0	FiFa
Chr1	4527349.5	1	1	3	1361	1	TRUE	FiFa_Tet14	8	FiFa_Tet14_CO_8	4526278	4529000	4	7	4_3_7	4527060	4527060	782	1940	1361	1	2722	1	0	FiFa
Chr2	18350201.5	1	3	4	597	3	TRUE	FiFa_Tet14	9	FiFa_Tet14_CO_9	18349656	18350739	6	10	6_14_14_14_10	18350150	18350261	494	478	597	112	1083	0	3	FiFa
Chr2	355497	1	1	2	NA	8	TRUE	FiFa_Tet14	10	FiFa_Tet14_CO_10	352965	355672	6	7	6_14_6_6_6_6_6_6_6_7	353037	355322	72	350	2496	2286	2707	0	1	FiFa
Chr2	9571029	1	1	2	1350	2	TRUE	FiFa_Tet14	11	FiFa_Tet14_CO_11	9570129	9572595	7	6	7_5_5_6	9570579	9570813	450	1782	1350	235	2466	2	0	FiFa
Chr3	21233418	0	1	2	0	0	FALSE	FiFa_Tet14	12	FiFa_Tet14_CO_12	21233300	21233536	7	6	7_6	21233300	21233536	0	0	0	0	0	0	0	FiFa
Chr4	159549	1	1	2	1048	2	TRUE	FiFa_Tet14	13	FiFa_Tet14_CO_13	158613	160421	6	7	6_5_5_7	159437	159725	824	696	1048	289	1808	2	0	FiFa
Chr4	17606631.5	1	1	4	NA	18	TRUE	FiFa_Tet14	14	FiFa_Tet14_CO_14	17605283	17610179	11	4	11_3_11_11_3_3_3_3_3_3_3_3_3_3_3_3_3_3_2_4	17605594	17608214	311	1965	3758	2621	4896	16	0	FiFa
Chr4	16453785.5	1	3	4	1765	3	TRUE	FiFa_Tet14	15	FiFa_Tet14_CO_15	16452695	16454785	7	11	7_3_3_3_11	16453111	16454551	416	234	1765	1441	2090	3	0	FiFa
Chr5	21643172.75	1	1	3	835.5	1	TRUE	FiFa_Tet14	16	FiFa_Tet14_CO_16	21641986	21643657	7	4	7_3_4	21643524	21643524	1538	133	835.5	1	1671	1	0	FiFa
Chr1	17288146.5	1	2	3	542	2	TRUE	FiFa_Tet15	1	FiFa_Tet15_CO_1	17287683	17288753	11	13	11_15_15_13	17288068	17288082	385	671	542	15	1070	0	2	FiFa
Chr1	28788022	0	2	4	0	0	FALSE	FiFa_Tet15	2	FiFa_Tet15_CO_2	28760401	28815643	13	7	13_7	28760401	28815643	0	0	0	0	0	0	0	FiFa
Chr1	29315401.25	1	1	2	4175.5	4	TRUE	FiFa_Tet15	3	FiFa_Tet15_CO_3	29313162	29318199	7	6	7_5_5_5_5_6	29313465	29316779	303	1420	4175.5	3315	5037	4	0	FiFa
Chr1	29526010	0	1	4	0	0	FALSE	FiFa_Tet15	4	FiFa_Tet15_CO_4	29525717	29526303	6	13	6_13	29525717	29526303	0	0	0	0	0	0	0	FiFa
Chr1	132847	0	3	4	0	0	FALSE	FiFa_Tet15	5	FiFa_Tet15_CO_5	129841	135853	7	11	7_11	129841	135853	0	0	0	0	0	0	0	FiFa
Chr2	937623.5	0	2	3	0	0	FALSE	FiFa_Tet15	6	FiFa_Tet15_CO_6	937377	937870	4	6	4_6	937377	937870	0	0	0	0	0	0	0	FiFa
Chr2	16629577	1	2	3	1478	2	TRUE	FiFa_Tet15	7	FiFa_Tet15_CO_7	16628536	16630487	6	4	6_8_8_4	16629140	16630145	604	342	1478	1006	1951	0	2	FiFa
Chr3	21459149.5	0	3	4	0	0	FALSE	FiFa_Tet15	8	FiFa_Tet15_CO_8	21453235	21465064	11	7	11_7	21453235	21465064	0	0	0	0	0	0	0	FiFa
Chr3	21024687.5	1	3	4	731	1	TRUE	FiFa_Tet15	9	FiFa_Tet15_CO_9	21023931	21025393	7	11	7_15_11	21024713	21024713	782	680	731	1	1462	0	1	FiFa
Chr3	20586331.75	1	1	2	773.5	2	TRUE	FiFa_Tet15	10	FiFa_Tet15_CO_10	20585720	20587140	6	7	6_8_8_7	20586170	20586297	450	843	773.5	128	1420	0	2	FiFa
Chr3	3720961	0	3	4	0	0	FALSE	FiFa_Tet15	11	FiFa_Tet15_CO_11	3718893	3723029	11	7	11_7	3718893	3723029	0	0	0	0	0	0	0	FiFa
Chr3	6469121.25	1	1	2	516.5	2	TRUE	FiFa_Tet15	12	FiFa_Tet15_CO_12	6468618	6469596	7	6	7_5_5_6	6469108	6469163	490	433	516.5	56	978	2	0	FiFa
Chr4	8875195.5	1	2	4	568	1	TRUE	FiFa_Tet15	13	FiFa_Tet15_CO_13	8874575	8875711	13	7	13_5_7	8875248	8875248	673	463	568	1	1136	1	0	FiFa
Chr4	7958771.5	0	2	3	0	0	FALSE	FiFa_Tet15	14	FiFa_Tet15_CO_14	7958424	7959119	11	13	11_13	7958424	7959119	0	0	0	0	0	0	0	FiFa
Chr5	26631652	1	1	2	2345	3	TRUE	FiFa_Tet15	15	FiFa_Tet15_CO_15	26630232	26634288	7	6	7_8_8_8_6	26630727	26631361	495	2927	2345	635	4056	0	3	FiFa
Chr5	23084146.75	1	2	4	5302.5	17	TRUE	FiFa_Tet15	16	FiFa_Tet15_CO_16	23081094	23086819	13	7	13_15_15_15_15_15_15_15_15_15_15_15_15_15_15_15_15_15_7	23081897	23086777	803	42	5302.5	4881	5725	0	17	FiFa
Chr5	18766579.75	1	1	4	124.5	2	TRUE	FiFa_Tet15	17	FiFa_Tet15_CO_17	18766448	18766686	6	13	6_14_14_13	18766587	18766598	139	88	124.5	12	238	0	2	FiFa
Chr5	4226048.5	0	2	3	0	0	FALSE	FiFa_Tet15	18	FiFa_Tet15_CO_18	4225677	4226420	4	6	4_6	4225677	4226420	0	0	0	0	0	0	0	FiFa
Chr1	24573024	0	2	4	0	0	FALSE	Fi_Tet8	1	Fi_Tet8_CO_1	24571555	24574493	13	7	13_7	24571555	24574493	0	0	0	0	0	0	0	Fi
Chr1	4432122.5	0	2	3	0	0	FALSE	Fi_Tet8	2	Fi_Tet8_CO_2	4431865	4432380	11	13	11_13	4431865	4432380	0	0	0	0	0	0	0	Fi
Chr1	2407573.5	0	3	4	0	0	FALSE	Fi_Tet8	3	Fi_Tet8_CO_3	2406953	2408194	7	11	7_11	2406953	2408194	0	0	0	0	0	0	0	Fi
Chr2	7392673.5	1	1	3	858	3	TRUE	Fi_Tet8	4	Fi_Tet8_CO_4	7392141	7393440	13	10	13_9_9_9_10	7392348	7392765	207	675	858	418	1299	3	0	Fi
Chr2	15012980.5	0	1	3	0	0	FALSE	Fi_Tet8	5	Fi_Tet8_CO_5	15011849	15014112	10	13	10_13	15011849	15014112	0	0	0	0	0	0	0	Fi
Chr3	958327	0	2	3	0	0	FALSE	Fi_Tet8	6	Fi_Tet8_CO_6	957309	959345	6	4	6_4	957309	959345	0	0	0	0	0	0	0	Fi
Chr3	19730338.25	1	1	4	827.5	2	TRUE	Fi_Tet8	7	Fi_Tet8_CO_7	19729442	19730815	4	11	4_3_3_11	19730407	19730689	965	126	827.5	283	1373	2	0	Fi
Chr4	10104170.5	1	2	4	953	2	TRUE	Fi_Tet8	8	Fi_Tet8_CO_8	10102889	10104733	13	7	13_15_15_7	10104499	10104561	1610	172	953	63	1844	0	2	Fi
Chr4	391530.5	0	2	3	0	0	FALSE	Fi_Tet8	9	Fi_Tet8_CO_9	390891	392170	11	13	11_13	390891	392170	0	0	0	0	0	0	0	Fi
Chr5	8512280.5	1	1	4	965	7	TRUE	Fi_Tet8	10	Fi_Tet8_CO_10	8511625	8512807	6	13	6_5_5_5_5_5_5_5_13	8511971	8512719	346	88	965	749	1182	7	0	Fi
Chr5	22972856.5	1	1	4	384	1	TRUE	Fi_Tet8	11	Fi_Tet8_CO_11	22972345	22973113	13	6	13_14_6	22972984	22972984	639	129	384	1	768	0	1	Fi
Chr5	3241997.5	0	2	3	0	0	FALSE	Fi_Tet8	12	Fi_Tet8_CO_12	3240922	3243073	4	6	4_6	3240922	3243073	0	0	0	0	0	0	0	Fi
Chr1	4692586.5	0	3	4	0	0	FALSE	Fi_Tet9	1	Fi_Tet9_CO_1	4690603	4694570	11	7	11_7	4690603	4694570	0	0	0	0	0	0	0	Fi
Chr1	26306847	0	1	2	0	0	FALSE	Fi_Tet9	6	Fi_Tet9_CO_6	26306025	26307669	7	6	7_6	26306025	26307669	0	0	0	0	0	0	0	Fi
Chr1	4558390.5	0	2	3	0	0	FALSE	Fi_Tet9	7	Fi_Tet9_CO_7	4557169	4559612	13	11	13_11	4557169	4559612	0	0	0	0	0	0	0	Fi
Chr2	8305574	1	3	4	584	3	TRUE	Fi_Tet9	8	Fi_Tet9_CO_8	8304840	8305895	10	6	10_14_14_14_6	8305724	8305837	884	58	584	114	1055	0	3	Fi
Chr3	4982791.5	0	1	3	0	0	FALSE	Fi_Tet9	9	Fi_Tet9_CO_9	4982230	4983353	13	10	13_10	4982230	4983353	0	0	0	0	0	0	0	Fi
Chr3	17589595	1	1	2	2220	6	TRUE	Fi_Tet9	10	Fi_Tet9_CO_10	17588292	17590969	10	11	10_12_11_12_12_12_12_11	17588678	17590441	386	528	2220	1764	2677	0	5	Fi
Chr3	22127734.5	0	2	3	0	0	FALSE	Fi_Tet9	11	Fi_Tet9_CO_11	22126906	22128563	11	13	11_13	22126906	22128563	0	0	0	0	0	0	0	Fi
Chr4	190405	0	1	3	0	0	FALSE	Fi_Tet9	12	Fi_Tet9_CO_12	190004	190806	13	10	13_10	190004	190806	0	0	0	0	0	0	0	Fi
Chr5	17434362	1	2	4	1239	3	TRUE	Fi_Tet9	13	Fi_Tet9_CO_13	17433241	17435581	7	13	7_5_5_5_13	17434244	17434382	1003	1199	1239	139	2340	3	0	Fi
Chr5	1595396	1	3	4	1272	4	TRUE	Fi_Tet9	14	Fi_Tet9_CO_14	1593708	1596086	11	7	11_3_3_3_3_7	1595812	1595978	2104	108	1272	167	2378	4	0	Fi
Chr1	28180529.5	1	1	4	982	1	TRUE	QAB_Tet11	1	QAB_Tet11_CO_1	28179141	28181105	13	6	13_14_6	28180936	28180936	1795	169	982	1	1964	0	1	QAB
Chr1	17424199.75	1	1	4	557.5	1	TRUE	QAB_Tet11	2	QAB_Tet11_CO_2	17423502	17424617	6	13	6_5_13	17424340	17424340	838	277	557.5	1	1115	1	0	QAB
Chr1	30267426.25	1	1	2	NA	3	TRUE	QAB_Tet11	7	QAB_Tet11_CO_7	30266692	30269146	7	6	7_5_6_5_6	30267370	30268389	678	757	1736.5	1020	2454	2	0	QAB
Chr1	28679502	0	1	2	0	0	FALSE	QAB_Tet11	8	QAB_Tet11_CO_8	28651893	28707111	6	7	6_7	28651893	28707111	0	0	0	0	0	0	0	QAB
Chr1	544449.5	0	2	3	0	0	FALSE	QAB_Tet11	9	QAB_Tet11_CO_9	528348	560551	4	6	4_6	528348	560551	0	0	0	0	0	0	0	QAB
Chr2	15076518	0	2	4	0	0	FALSE	QAB_Tet11	10	QAB_Tet11_CO_10	15075195	15077841	10	4	10_4	15075195	15077841	0	0	0	0	0	0	0	QAB
Chr2	17356637	1	1	3	1168	2	TRUE	QAB_Tet11	11	QAB_Tet11_CO_11	17355101	17357427	4	7	4_3_3_7	17357005	17357015	1904	412	1168	11	2326	2	0	QAB
Chr2	14201093.75	8	1	2	1381.5	4	TRUE	QAB_Tet11	12	QAB_Tet11_CO_12	14199880	14202112	11	10	11_4_12_12_12_10	14200926	14201457	1046	655	1381.5	532	2232	0	3	QAB
Chr2	18783021.5	1	1	2	NA	14	TRUE	QAB_Tet11	13	QAB_Tet11_CO_13	18779350	18783469	7	6	7_8_7_7_7_7_7_7_7_7_7_7_7_7_7_6	18780268	18782574	918	895	3212.5	2307	4119	0	1	QAB
Chr3	1635872.5	0	2	4	0	0	FALSE	QAB_Tet11	14	QAB_Tet11_CO_14	1634838	1636907	7	13	7_13	1634838	1636907	0	0	0	0	0	0	0	QAB
Chr3	22108847.5	0	2	3	0	0	FALSE	QAB_Tet11	15	QAB_Tet11_CO_15	22108440	22109255	4	6	4_6	22108440	22109255	0	0	0	0	0	0	0	QAB
Chr3	2641910.5	1	2	3	633	1	TRUE	QAB_Tet11	16	QAB_Tet11_CO_16	2641229	2642495	13	11	13_15_11	2641959	2641959	730	536	633	1	1266	0	1	QAB
Chr3	7419075.5	0	2	3	0	0	FALSE	QAB_Tet11	17	QAB_Tet11_CO_17	7418662	7419489	4	6	4_6	7418662	7419489	0	0	0	0	0	0	0	QAB
Chr3	22991876	0	1	2	0	0	FALSE	QAB_Tet11	18	QAB_Tet11_CO_18	22991606	22992146	6	7	6_7	22991606	22992146	0	0	0	0	0	0	0	QAB
Chr3	7177779.5	0	2	4	0	0	FALSE	QAB_Tet11	19	QAB_Tet11_CO_19	7177467	7178092	10	4	10_4	7177467	7178092	0	0	0	0	0	0	0	QAB
Chr3	219814	0	3	4	0	0	FALSE	QAB_Tet11	20	QAB_Tet11_CO_20	219687	219941	11	7	11_7	219687	219941	0	0	0	0	0	0	0	QAB
Chr3	4623292	0	1	2	0	0	FALSE	QAB_Tet11	21	QAB_Tet11_CO_21	4623135	4623449	11	10	11_10	4623135	4623449	0	0	0	0	0	0	0	QAB
Chr3	18011690.5	0	2	3	0	0	FALSE	QAB_Tet11	22	QAB_Tet11_CO_22	18011203	18012178	6	4	6_4	18011203	18012178	0	0	0	0	0	0	0	QAB
Chr4	8755280.5	1	3	4	NA	27	TRUE	QAB_Tet11	23	QAB_Tet11_CO_23	8753609	8755663	11	7	11_12_11_11_11_11_11_11_11_11_11_11_11_11_11_11_11_3_3_3_3_3_3_3_3_3_3_3_7	8753693	8755594	84	69	1977.5	1902	2054	11	1	QAB
Chr5	24667856.25	1	2	4	969.5	3	TRUE	QAB_Tet11	24	QAB_Tet11_CO_24	24667266	24668584	10	4	10_12_12_12_4	24667477	24668098	211	486	969.5	622	1318	0	3	QAB
Chr5	8734736.5	0	2	3	0	0	FALSE	QAB_Tet11	25	QAB_Tet11_CO_25	8733909	8735564	13	11	13_11	8733909	8735564	0	0	0	0	0	0	0	QAB
Chr5	21256631.5	0	1	2	0	0	FALSE	QAB_Tet11	26	QAB_Tet11_CO_26	21255341	21257922	11	10	11_10	21255341	21257922	0	0	0	0	0	0	0	QAB
Chr5	1144006	0	1	2	0	0	FALSE	QAB_Tet11	27	QAB_Tet11_CO_27	1143561	1144451	7	6	7_6	1143561	1144451	0	0	0	0	0	0	0	QAB
Chr5	7380449.5	0	1	4	0	0	FALSE	QAB_Tet11	28	QAB_Tet11_CO_28	7378125	7382774	6	13	6_13	7378125	7382774	0	0	0	0	0	0	0	QAB
Chr1	17299082	1	3	4	614	4	TRUE	QAB_Tet12	3	QAB_Tet12_CO_3	17298520	17299572	11	7	11_3_3_3_3_7	17299030	17299206	510	366	614	177	1052	4	0	QAB
Chr1	26533485.5	0	2	4	0	0	FALSE	QAB_Tet12	4	QAB_Tet12_CO_4	26531838	26535133	10	4	10_4	26531838	26535133	0	0	0	0	0	0	0	QAB
Chr1	1571092.5	0	1	2	0	0	FALSE	QAB_Tet12	5	QAB_Tet12_CO_5	1570514	1571671	7	6	7_6	1570514	1571671	0	0	0	0	0	0	0	QAB
Chr1	17918008.5	0	1	2	0	0	FALSE	QAB_Tet12	6	QAB_Tet12_CO_6	17916654	17919363	7	6	7_6	17916654	17919363	0	0	0	0	0	0	0	QAB
Chr1	25318227.5	0	3	4	0	0	FALSE	QAB_Tet12	7	QAB_Tet12_CO_7	25317956	25318499	6	10	6_10	25317956	25318499	0	0	0	0	0	0	0	QAB
Chr1	8048628	0	1	4	0	0	FALSE	QAB_Tet12	8	QAB_Tet12_CO_8	8046881	8050375	6	13	6_13	8046881	8050375	0	0	0	0	0	0	0	QAB
Chr1	238286.5	0	1	3	0	0	FALSE	QAB_Tet12	11	QAB_Tet12_CO_11	210319	266254	4	7	4_7	210319	266254	0	0	0	0	0	0	0	QAB
Chr1	10960138	0	2	3	0	0	FALSE	QAB_Tet12	12	QAB_Tet12_CO_12	10957985	10962291	13	11	13_11	10957985	10962291	0	0	0	0	0	0	0	QAB
Chr2	17073063.5	1	2	3	273	1	TRUE	QAB_Tet12	13	QAB_Tet12_CO_13	17072797	17073343	13	11	13_15_11	17073057	17073057	260	286	273	1	546	0	1	QAB
Chr2	13937415	0	2	3	0	0	FALSE	QAB_Tet12	14	QAB_Tet12_CO_14	13936210	13938620	11	13	11_13	13936210	13938620	0	0	0	0	0	0	0	QAB
Chr2	608836.5	1	2	3	470	1	TRUE	QAB_Tet12	15	QAB_Tet12_CO_15	608355	609295	13	11	13_9_11	608848	608848	493	447	470	1	940	1	0	QAB
Chr3	10756929.5	0	3	4	0	0	FALSE	QAB_Tet12	16	QAB_Tet12_CO_16	10756262	10757597	7	11	7_11	10756262	10757597	0	0	0	0	0	0	0	QAB
Chr3	3266774	0	1	4	0	0	FALSE	QAB_Tet12	17	QAB_Tet12_CO_17	3254469	3279079	11	4	11_4	3254469	3279079	0	0	0	0	0	0	0	QAB
Chr3	6267837	1	1	2	717	4	TRUE	QAB_Tet12	18	QAB_Tet12_CO_18	6267014	6268353	6	7	6_5_5_5_5_7	6267943	6268038	929	315	717	96	1339	4	0	QAB
Chr3	5773948	0	2	3	0	0	FALSE	QAB_Tet12	19	QAB_Tet12_CO_19	5771877	5776019	4	6	4_6	5771877	5776019	0	0	0	0	0	0	0	QAB
Chr3	1706894.5	0	3	4	0	0	FALSE	QAB_Tet12	20	QAB_Tet12_CO_20	1706227	1707562	7	11	7_11	1706227	1707562	0	0	0	0	0	0	0	QAB
Chr4	14015015.5	0	1	2	0	0	FALSE	QAB_Tet12	23	QAB_Tet12_CO_23	14014186	14015845	6	7	6_7	14014186	14015845	0	0	0	0	0	0	0	QAB
Chr4	14975837.5	0	1	3	0	0	FALSE	QAB_Tet12	26	QAB_Tet12_CO_26	14975325	14976350	7	4	7_4	14975325	14976350	0	0	0	0	0	0	0	QAB
Chr5	7417211.5	0	1	2	0	0	FALSE	QAB_Tet12	27	QAB_Tet12_CO_27	7413709	7420714	11	10	11_10	7413709	7420714	0	0	0	0	0	0	0	QAB
Chr5	1948322	0	1	4	0	0	FALSE	QAB_Tet12	28	QAB_Tet12_CO_28	1948070	1948574	4	11	4_11	1948070	1948574	0	0	0	0	0	0	0	QAB
Chr5	26054622.5	0	1	4	0	0	FALSE	QAB_Tet12	29	QAB_Tet12_CO_29	26054418	26054827	4	11	4_11	26054418	26054827	0	0	0	0	0	0	0	QAB
Chr5	21792359	0	1	3	0	0	FALSE	QAB_Tet12	30	QAB_Tet12_CO_30	21788524	21796194	7	4	7_4	21788524	21796194	0	0	0	0	0	0	0	QAB
Chr5	16867231.5	1	3	4	1322	1	TRUE	QAB_Tet12	31	QAB_Tet12_CO_31	16865895	16868539	11	7	11_3_7	16867246	16867246	1351	1293	1322	1	2644	1	0	QAB
Chr5	26217586	0	2	3	0	0	FALSE	QAB_Tet12	32	QAB_Tet12_CO_32	26216717	26218455	11	13	11_13	26216717	26218455	0	0	0	0	0	0	0	QAB
Chr5	8137995.5	0	1	2	0	0	FALSE	QAB_Tet12	33	QAB_Tet12_CO_33	8134783	8141208	10	11	10_11	8134783	8141208	0	0	0	0	0	0	0	QAB
Chr1	2910380.75	1	2	3	NA	5	TRUE	QAB_Tet13	1	QAB_Tet13_CO_1	2909236	2915179	6	4	6_2_2_4_4_12_4	2910372	2913921	1136	1258	4746	3550	5943	2	1	QAB
Chr1	8610253	0	1	3	0	0	FALSE	QAB_Tet13	2	QAB_Tet13_CO_2	8609840	8610666	7	4	7_4	8609840	8610666	0	0	0	0	0	0	0	QAB
Chr1	20149714	0	1	3	0	0	FALSE	QAB_Tet13	3	QAB_Tet13_CO_3	20145109	20154319	4	7	4_7	20145109	20154319	0	0	0	0	0	0	0	QAB
Chr1	6974039	0	1	3	0	0	FALSE	QAB_Tet13	4	QAB_Tet13_CO_4	6973091	6974987	4	7	4_7	6973091	6974987	0	0	0	0	0	0	0	QAB
Chr2	13361173.5	0	2	3	0	0	FALSE	QAB_Tet13	5	QAB_Tet13_CO_5	13360374	13361973	4	6	4_6	13360374	13361973	0	0	0	0	0	0	0	QAB
Chr2	15873648	0	1	4	0	0	FALSE	QAB_Tet13	6	QAB_Tet13_CO_6	15872449	15874847	13	6	13_6	15872449	15874847	0	0	0	0	0	0	0	QAB
Chr2	19627802.5	0	1	2	0	0	FALSE	QAB_Tet13	7	QAB_Tet13_CO_7	19627421	19628184	6	7	6_7	19627421	19628184	0	0	0	0	0	0	0	QAB
Chr2	15712299	0	1	4	0	0	FALSE	QAB_Tet13	8	QAB_Tet13_CO_8	15706732	15717866	6	13	6_13	15706732	15717866	0	0	0	0	0	0	0	QAB
Chr3	15878859.5	0	1	2	0	0	FALSE	QAB_Tet13	9	QAB_Tet13_CO_9	15877976	15879743	7	6	7_6	15877976	15879743	0	0	0	0	0	0	0	QAB
Chr3	15666679.25	1	1	3	769.5	10	TRUE	QAB_Tet13	10	QAB_Tet13_CO_10	15666200	15667078	4	7	4_8_8_8_8_8_8_8_8_8_8_7	15666389	15667050	189	28	769.5	662	878	0	10	QAB
Chr4	10031942	0	1	3	0	0	FALSE	QAB_Tet13	11	QAB_Tet13_CO_11	10031378	10032506	10	13	10_13	10031378	10032506	0	0	0	0	0	0	0	QAB
Chr4	8751477.5	1	2	4	NA	8	TRUE	QAB_Tet13	12	QAB_Tet13_CO_12	8750707	8753838	4	10	4_12_10_10_10_10_10_10_14_10	8751412	8753693	705	145	2706	2282	3131	0	2	QAB
Chr5	1991099.25	1	2	3	1087.5	2	TRUE	QAB_Tet13	13	QAB_Tet13_CO_13	1989825	1991882	13	11	13_15_15_11	1991286	1991404	1461	478	1087.5	119	2057	0	2	QAB
Chr5	8124855.5	0	1	4	0	0	FALSE	QAB_Tet13	14	QAB_Tet13_CO_14	8123690	8126021	11	4	11_4	8123690	8126021	0	0	0	0	0	0	0	QAB
Chr1	25480907	0	1	3	0	0	FALSE	QFa_Tet16	1	QFa_Tet16_CO_1	25474460	25487354	13	10	13_10	25474460	25487354	0	0	0	0	0	0	0	QFa
Chr1	4289784.5	0	2	3	0	0	FALSE	QFa_Tet16	6	QFa_Tet16_CO_6	4289556	4290013	4	6	4_6	4289556	4290013	0	0	0	0	0	0	0	QFa
Chr1	8418113	0	2	3	0	0	FALSE	QFa_Tet16	7	QFa_Tet16_CO_7	8405137	8431089	6	4	6_4	8405137	8431089	0	0	0	0	0	0	0	QFa
Chr1	24447129.5	0	2	3	0	0	FALSE	QFa_Tet16	8	QFa_Tet16_CO_8	24446927	24447332	11	13	11_13	24446927	24447332	0	0	0	0	0	0	0	QFa
Chr1	9579340.5	0	1	4	0	0	FALSE	QFa_Tet16	9	QFa_Tet16_CO_9	9563954	9594727	4	11	4_11	9563954	9594727	0	0	0	0	0	0	0	QFa
Chr1	28292670.5	1	3	4	NA	11	TRUE	QFa_Tet16	10	QFa_Tet16_CO_10	28288492	28293205	10	6	10_12_10_10_10_10_10_10_10_10_10_10_6	28288886	28292136	394	1069	3981.5	3251	4713	0	1	QFa
Chr1	30372184	1	3	4	493	4	TRUE	QFa_Tet16	11	QFa_Tet16_CO_11	30371778	30372455	6	10	6_2_2_2_2_10	30372097	30372406	319	49	493	310	677	4	0	QFa
Chr1	238286.5	0	1	4	0	0	FALSE	QFa_Tet16	12	QFa_Tet16_CO_12	210319	266254	11	4	11_4	210319	266254	0	0	0	0	0	0	0	QFa
Chr2	7423704	0	3	4	0	0	FALSE	QFa_Tet16	13	QFa_Tet16_CO_13	7423396	7424012	6	10	6_10	7423396	7424012	0	0	0	0	0	0	0	QFa
Chr2	16778367.5	1	2	3	NA	4	TRUE	QFa_Tet16	14	QFa_Tet16_CO_14	16777709	16780243	13	11	13_11_11_11_3_11	16779026	16780007	1317	236	1757.5	982	2534	1	0	QFa
Chr2	18496745.5	0	1	3	0	0	FALSE	QFa_Tet16	15	QFa_Tet16_CO_15	18496600	18496891	7	4	7_4	18496600	18496891	0	0	0	0	0	0	0	QFa
Chr2	15875398.75	1	1	3	509.5	4	TRUE	QFa_Tet16	16	QFa_Tet16_CO_16	15874918	15875858	10	13	10_9_9_9_9_13	15875370	15875449	452	409	509.5	80	940	4	0	QFa
Chr2	17821963	0	3	4	0	0	FALSE	QFa_Tet16	17	QFa_Tet16_CO_17	17821308	17822618	11	7	11_7	17821308	17822618	0	0	0	0	0	0	0	QFa
